SN,$m_B$ (mag),$x_1$,$c$,$\mu$ (mag),Cluster,$z$,$r_{500}$ (Mpc),Proj. $r/r_{500}$,NED Host Galaxy,Host/SN $z$,Host SFR
1990N,$12.627 \pm 0.006$,$+1.034 \pm 0.033$,$+0.059 \pm 0.003$,$31.954 \pm 0.930$,MCXC J1230.7+1220,0.0036,0.75,1.11,NGC 4639,0.0034,SF
1992A,$12.524 \pm 0.006$,$-0.748 \pm 0.066$,$+0.001 \pm 0.004$,$31.668 \pm 0.434$,MCXC J0338.4-3526,0.0051,0.40,0.60,NGC 1380,0.0063,Q
1994D,$11.669 \pm 0.002$,$-1.803 \pm 0.006$,$-0.084 \pm 0.001$,$30.961 \pm 0.839$,MCXC J1230.7+1220,0.0036,0.75,1.68,NGC 4526,0.0021,Q
2000dk,$15.245 \pm 0.003$,$-2.379 \pm 0.027$,$-0.034 \pm 0.002$,$34.256 \pm 0.209$,MCXC J0107.4+3227,0.0170,0.52,0.14,NGC 0382,0.0174,Q
2004fz,$14.817 \pm 0.004$,$-1.444 \pm 0.020$,$+0.018 \pm 0.002$,$33.915 \pm 0.219$,MCXC J0200.2+3126,0.0168,0.46,1.27,NGC 0783,0.0173,SF
2005eu,$16.319 \pm 0.006$,$+0.482 \pm 0.050$,$-0.138 \pm 0.004$,$35.989 \pm 0.176$,MCXC J0228.1+2811,0.0353,0.61,0.41,WISEA J022743.32+281037.7,0.0345,SF
2006hx,$17.402 \pm 0.004$,$-0.299 \pm 0.024$,$+0.114 \pm 0.003$,$36.423 \pm 0.184$,MCXC J0115.2+0019,0.0450,0.75,1.34,2MASX J01135716+0022171,0.0454,Q
2007ci,$15.814 \pm 0.005$,$-2.782 \pm 0.029$,$+0.005 \pm 0.004$,$34.669 \pm 0.192$,MCXC J1144.6+1945,0.0214,0.90,0.47,NGC 3873,0.018,Q
2007fr,$18.059 \pm 0.011$,$-2.448 \pm 0.075$,$-0.031 \pm 0.010$,$37.052 \pm 0.172$,MCXC J2137.1+0026,0.0509,0.41,0.10,UGC 11780 NOTES01,0.0507,Q
2007nq,$17.240 \pm 0.005$,$-1.871 \pm 0.022$,$-0.044 \pm 0.003$,$36.429 \pm 0.184$,MCXC J0056.3-0112,0.0442,0.94,1.19,UGC 00595,0.045,Q
2007on,$12.958 \pm 0.001$,$-2.065 \pm 0.005$,$+0.004 \pm 0.001$,$31.914 \pm 0.424$,MCXC J0338.4-3526,0.0051,0.40,0.14,NGC 1404,0.0065,Q
2008L,$15.149 \pm 0.008$,$-1.825 \pm 0.033$,$-0.117 \pm 0.005$,$34.449 \pm 0.210$,MCXC J0319.7+4130,0.0179,1.29,0.50,NGC 1259,0.0194,Q
2008Q,$13.367 \pm 0.005$,$-1.761 \pm 0.069$,$-0.032 \pm 0.004$,$32.457 \pm 0.360$,MCXC J0124.8+0932,0.0079,0.21,0.11,NGC 0524,0.008,Q
2008bf,$15.631 \pm 0.005$,$+0.395 \pm 0.038$,$-0.110 \pm 0.003$,$35.218 \pm 0.185$,MCXC J1204.1+2020,0.0252,0.48,0.41,NGC 4055,0.0244,Q
2009eu,$17.645 \pm 0.032$,$-2.363 \pm 0.190$,$+0.235 \pm 0.021$,$35.965 \pm 0.184$,MCXC J1628.6+3932,0.0299,1.00,0.02,NGC 6166,0.0304,Q
2010ai,$15.920 \pm 0.010$,$-1.685 \pm 0.048$,$-0.070 \pm 0.007$,$35.118 \pm 0.192$,MCXC J1259.7+2756,0.0231,1.14,0.13,WISEA J125925.01+275948.2,0.0183,Q
2012cg,$11.982 \pm 0.002$,$+0.526 \pm 0.010$,$+0.125 \pm 0.001$,$31.086 \pm 0.728$,MCXC J1230.7+1220,0.0036,0.75,1.09,NGC 4424,0.0015,SF
2013cs,$13.671 \pm 0.001$,$+0.768 \pm 0.010$,$+0.038 \pm 0.001$,$33.013 \pm 0.295$,MCXC J1315.3-1623,0.0087,0.56,1.80,ESO 576- G 017,0.0092,Q
2014ai,$16.258 \pm 0.035$,$-1.447 \pm 0.184$,$+0.089 \pm 0.021$,$35.080 \pm 0.198$,MCXC J0919.8+3345,0.0230,0.45,0.07,NGC 2832,0.023,Q
2015ar,$14.933 \pm 0.023$,$-2.054 \pm 0.153$,$-0.080 \pm 0.029$,$34.106 \pm 0.220$,MCXC J0107.4+3227,0.0170,0.52,0.16,NGC 382,0.0174,Q
2018bgs,$18.253 \pm 0.005$,$-0.075 \pm 0.070$,$-0.086 \pm 0.005$,$37.713 \pm 0.169$,MCXC J1421.5+4933,0.0716,0.82,0.03,MCG +08-26-021,0.0719,Q
2018ccl,$16.772 \pm 0.002$,$-1.582 \pm 0.015$,$+0.094 \pm 0.002$,$35.562 \pm 0.180$,MCXC J1628.6+3932,0.0299,1.00,0.61,UGC 10404,0.0268,SF
2018cng,$18.341 \pm 0.007$,$+0.794 \pm 0.068$,$+0.141 \pm 0.006$,$37.443 \pm 0.181$,MCXC J1545.0+3603,0.0654,0.80,1.31,WISEA J154529.02+355118.7,0.0661,Q
2018dvb,$17.903 \pm 0.006$,$-1.541 \pm 0.045$,$-0.113 \pm 0.006$,$37.231 \pm 0.169$,MCXC J1533.2+3108,0.0673,0.67,0.99,WISEA J153356.74+311009.7,0.0649,Q
2018eak,$16.908 \pm 0.006$,$-2.660 \pm 0.052$,$+0.030 \pm 0.005$,$35.715 \pm 0.181$,MCXC J1615.5+1927,0.0308,0.50,0.91,2MASX J16154858+1939440,0.0303,Q
2018fio,$18.992 \pm 0.039$,$-1.758 \pm 0.332$,$+0.189 \pm 0.029$,$37.514 \pm 0.174$,MCXC J1521.2+3038,0.0777,0.98,0.05,WISEA J152113.56+303813.2,0.075,Q
2018ggt,$17.000 \pm 0.009$,$-2.368 \pm 0.052$,$-0.078 \pm 0.007$,$36.203 \pm 0.184$,MCXC J0056.3-0112,0.0442,0.94,1.30,UGC 00588,0.0442,Q
2018hts,$16.562 \pm 0.015$,$+0.531 \pm 0.125$,$-0.095 \pm 0.013$,$36.188 \pm 0.186$,MCXC J2323.8+1648,0.0416,0.88,1.10,WISEA J232432.94+170539.3,0.04,SF
2018hzd,$17.891 \pm 0.008$,$+0.130 \pm 0.125$,$+0.018 \pm 0.007$,$37.196 \pm 0.183$,MCXC J2336.5+2108,0.0565,0.84,1.46,WISEA J233701.22+212551.7,0.05,Q
2018jsv,$18.817 \pm 0.019$,$-2.986 \pm 0.188$,$-0.062 \pm 0.017$,$37.817 \pm 0.173$,MCXC J1111.6+4050,0.0794,0.87,0.19,MCG +07-23-031,0.0781,Q
