SN,mB,mB_err,x1,x1_err,c,c_err,mu,mu_err,HR,Outlier,log(M_stellar),log(M_stellar)_err,log(sSFR),log(sSFR)_err,Host z,Host z (HD)
2021czn,18.27926173605933,0.02206632106712763,0.11422470188864706,0.4525760638962047,0.19865815709382925,0.03519926052553721,37.089176890290595,0.17445983546369623,-0.5301498118660746,y,10.3,0.09999999999999964,-9.73,0.16000000000000014,0.0737616271,0.07388810706552973
2021dep,17.03180896692109,0.00773900486794832,-2.3351963482802005,0.07620132711754733,-0.036417180119571506,0.007683691245523238,36.08287735487633,0.13962575145343895,0.057023289653990616,n,10.45,0.08000000000000007,-10.17,0.15000000000000036,0.036837317,0.036434244927016746
2021dgm,17.82845683979061,0.014244778405430222,0.501308893201642,0.09286720685947533,0.006633457984158725,0.01055243575760744,37.14340439159116,0.13803636932267777,0.05944617685011622,n,9.34,0.10999999999999943,-9.68,0.1999999999999993,0.0593868904,0.0583769075942564
2021dnm,17.51603938909385,0.007468063117873722,0.5677557783136452,0.0562000946823116,0.12143272493415243,0.006000728899595023,36.56748432640237,0.13801056672701303,0.06923295623637671,n,9.45,0.10000000000000142,-9.93,0.16000000000000014,0.0460704528,0.045006137150412684
2021dov,14.673460770890857,0.0028506997423574246,0.8396940043261378,0.013776113405507754,0.09321175985231032,0.0017574185934667301,33.826869426598954,0.15923958549423534,0.042678137625799195,n,9.7,0.08999999999999986,-10.37,0.14999999999999858,0.0126979267,0.013204285514442304
2021end,18.518760485268892,0.052269521905316994,-0.7217904280462963,0.20109844538407656,0.13527605626141484,0.04065910924723425,37.37104526671136,0.15020186076663403,-0.18130938748499403,n,9.96,0.09999999999999964,-9.93,0.16000000000000014,0.0713333562,0.07175084656429598
2021esh,18.301173220240162,0.01643996427699805,0.18906960942739212,0.14702116731283812,0.057654552951693486,0.013916975861959738,37.454921909360785,0.14017693564990363,0.04051873042541132,n,10.78,0.08999999999999986,-10.32,0.20000000000000107,0.067175433,0.06753346957770656
2021fqb,16.749924385032564,0.00797897224936947,-0.6044794362690543,0.0402997979289184,0.034631170008495964,0.005584704170903875,35.855870664833716,0.138918741580698,-0.14290293468869208,n,10.21,0.09999999999999964,-10.07,0.14000000000000057,0.0344874598,0.03599432725453089
2021fqk,18.215808771298303,0.0178018545792125,-0.07680669583294432,0.1791617880708777,-0.04394678969074538,0.014281297865452151,37.57605459910292,0.14025493792701063,0.05022823897375872,n,9.62,0.10000000000000142,-9.73,0.16000000000000014,0.0718830898,0.07092072451154174
2021fwy,18.2667778434251,0.013669374800760033,1.2569247451609429,0.11465537115397317,-0.0030408758725845356,0.011163435557765349,37.702128011368885,0.138426835811297,0.11450720433033723,n,9.78,0.10000000000000142,-9.93,0.16000000000000014,0.0728322789,0.07286880275670393
